Student,previous scale score,Diagnostic 1,GM 1,GM 2,Diagnostic 2,acheivement level
65,269,453,446,388,386,1
51,292,416,486,478,475,1
64,274,513,529,515,522,1
67,274,494,486,,428,1
3,284,493,472,532,516,1
80,284,484,534,,463,1
60,286,462,540,500,470,1
9,296,456,539,498,427,1
11,282,525,537,540,518,1
74,294,540,537,511,535,1
55,303,578,559,582,511,1
7,299,545,584,565,580,1
37,298,475,509,505,512,1
19,296,513,531,527,543,1
68,286,542,509,457,496,1
8,293,507,551,521,550,1
36,316,566,567,629,558,1
82,,,,,496,1
27,292,574,550,569,576,2
18,310,551,537,537,559,2
70,301,550,563,530,566,2
28,300,518,546,552,517,2
31,299,486,557,486,544,2
43,321,560,563,548,572,2
78,306,550,536,539,539,2
83,304,556,580,,579,2
34,298,525,548,548,542,2
76,315,561,597,540,527,2
33,314,562,562,562,593,2
40,312,557,557,563,563,2
45,310,553,581,,583,2
54,302,497,542,,480,2
56,317,620,636,,633,2
6,294,579,603,559,557,2
30,304,563,563,538,537,2
23,318,538,574,,515,2
35,318,559,576,533,556,2
58,302,517,525,538,567,2
59,324,578,568,594,551,2
22,314,558,558,550,565,3
41,304,562,573,610,565,3
61,320,560,550,,524,3
32,296,495,583,485,557,3
12,314,540,563,575,556,3
21,,556,542,548,561,3
10,298,582,561,581,556,3
17,315,561,558,569,568,3
46,315,539,570,557,527,3
49,303,557,591,541,556,3
13,320,579,617,572,576,3
62,301,578,594,605,586,3
69,316,558,594,581,591,3
81,316,608,522,,586,3
5,302,575,575,,590,3
73,304,571,556,553,560,3
57,322,586,609,591,592,3
15,317,600,623,568,581,3
50,,,,,,3
52,307,577,575,571,577,3
75,318,600,580,612,569,3
25,320,549,563,586,575,3
79,331,603,602,585,598,3
42,314,549,589,578,525,3
39,315,518,580,524,532,3
63,320,568,560,546,570,3
66,,579,568,576,567,3
71,335,581,622,624,595,4
14,317,586,569,595,589,4
44,317,596,562,575,560,4
53,322,584,574,589,576,4
48,,587,,,603,4
77,325,578,585,599,608,4
1,327,614,577,636,534,4
72,333,610,622,619,584,4
2,328,563,588,,602,4
38,339,599,604,639,608,4
4,339,618,615,667,633,4
26,341,621,611,630,630,4
29,339,609,589,642,611,4
47,329,595,605,,630,4
24,342,637,617,634,639,5
16,338,645,656,677,651,5
