Student ID,Gender,Ethnicity,FSA_ELA,Retained,Attendance,Behavior,Fall_Diag,Winter_Diag,Bins_Winter
3505181649,M,Caucasian,3,NO,NO,NO,536.0,564.0,4
3507461649,M,Caucasian,4,NO,NO,NO,564.0,584.0,5
3508041649,F,Caucasian,4,NO,NO,NO,531.0,528.0,4
3509881649,M,Caucasian,5,NO,NO,NO,530.0,556.0,4
3510171549,M,Caucasian,3,YES,NO,NO,518.0,534.0,4
3510261513,M,Caucasian,3,NO,NO,NO,535.0,553.0,4
3510301649,M,Multi-Racial,4,NO,NO,NO,547.0,582.0,5
3510291649,M,Caucasian,4,NO,NO,NO,533.0,574.0,5
3510911649,M,Caucasian,3,NO,NO,NO,486.0,509.0,3
3511661649,M,Caucasian,2,NO,NO,NO,495.0,509.0,3
3512421649,M,Caucasian,2,NO,NO,NO,474.0,513.0,3
3512811649,F,Caucasian,3,NO,NO,NO,537.0,556.0,4
3513031423,M,Caucasian,4,YES,NO,NO,540.0,559.0,4
4804290612,M,Hispanic,2,NO,NO,NO,474.0,512.0,3
3514841649,M,Caucasian,3,NO,NO,NO,505.0,497.0,3
4804301887,M,American Indian,4,NO,NO,NO,550.0,569.0,4
3517311649,M,Caucasian,4,NO,NO,NO,520.0,539.0,4
3517421549,F,Caucasian,2,YES,NO,NO,473.0,485.0,3
3517401649,F,Hispanic,3,NO,NO,NO,540.0,551.0,4
3517711849,M,Caucasian,4,NO,NO,NO,535.0,529.0,4
3518351504,F,Hispanic,4,NO,NO,NO,548.0,563.0,4
3519911649,M,Caucasian,5,NO,NO,NO,573.0,600.0,5
3521041796,M,Caucasian,4,NO,NO,NO,502.0,571.0,4
3523291649,F,Asian,2,NO,NO,NO,505.0,524.0,4
3529091649,F,African American,4,NO,NO,NO,555.0,582.0,5
3530301649,F,Caucasian,5,NO,NO,NO,541.0,569.0,4
3530481649,M,Caucasian,4,NO,NO,NO,548.0,585.0,5
3530741649,F,Caucasian,4,NO,NO,NO,542.0,579.0,5
3532761649,F,Caucasian,4,NO,NO,NO,552.0,559.0,4
3550321531,M,Hispanic,3,NO,NO,NO,507.0,529.0,4
3551201849,M,Hispanic,3,NO,NO,NO,524.0,549.0,4
3551341649,M,Caucasian,4,NO,NO,NO,489.0,544.0,4
3553311849,F,African American,3,NO,NO,NO,518.0,523.0,4
3553381622,F,Caucasian,4,NO,NO,NO,580.0,593.0,5
3554381669,F,Asian,2,NO,NO,NO,525.0,524.0,4
3554441649,M,Caucasian,4,NO,NO,NO,548.0,578.0,5
3554491949,F,Hispanic,3,NO,NO,NO,513.0,524.0,4
3554711649,F,Hispanic,4,NO,NO,NO,526.0,530.0,4
3555521570,F,Caucasian,3,NO,NO,NO,480.0,513.0,3
4804291888,M,Caucasian,4,NO,NO,NO,578.0,554.0,4
3557801623,M,Caucasian,3,NO,NO,NO,482.0,533.0,4
3558501649,M,Caucasian,4,NO,NO,NO,548.0,591.0,5
3559751649,M,Asian,4,NO,NO,NO,564.0,547.0,4
3560301549,M,Caucasian,2,YES,NO,NO,446.0,487.0,3
3560411613,F,Caucasian,2,NO,NO,NO,449.0,497.0,3
3569201649,M,Hispanic,5,NO,NO,NO,547.0,568.0,4
3569281649,F,Caucasian,3,NO,NO,NO,522.0,535.0,4
3569341649,F,Asian,4,NO,NO,NO,569.0,569.0,4
3569331649,F,Asian,4,NO,NO,NO,576.0,562.0,4
3569341204,F,Asian,1,YES,NO,NO,372.0,450.0,2
3569711649,F,Caucasian,5,NO,NO,NO,558.0,569.0,4
3571781704,M,Caucasian,4,NO,NO,NO,500.0,540.0,4
3572921404,M,Caucasian,3,YES,NO,NO,517.0,515.0,3
3572921649,M,Caucasian,5,NO,NO,NO,554.0,582.0,5
3575961649,F,Multi-Racial,4,NO,NO,NO,531.0,546.0,4
3576151649,M,Hispanic,2,NO,NO,NO,491.0,526.0,4
3576991649,F,Hispanic,3,NO,NO,NO,536.0,527.0,4
3577481949,M,Caucasian,3,NO,NO,NO,504.0,531.0,4
3579081649,F,Multi-Racial,3,NO,NO,NO,492.0,545.0,4
3579541649,M,Hispanic,3,NO,NO,NO,512.0,539.0,4
3580261649,F,Hispanic,4,NO,NO,NO,529.0,533.0,4
3581071623,F,Hispanic,3,NO,NO,NO,527.0,533.0,4
3581171649,F,Caucasian,4,NO,NO,NO,551.0,560.0,4
3581311204,M,Caucasian,4,NO,NO,NO,514.0,530.0,4
3581511613,M,Caucasian,4,NO,NO,NO,528.0,549.0,4
