Student ID,Fall_Diag,Winter_Diag
3507951708,526,573
3508421508,551,558
3594151577,583,583
3510551409,463,512
3512401409,472,488
3512991408,546,544
3513081509,490,506
3515041508,521,560
3515361508,559,546
3515661599,402,410
3517521308,414,414
1300604301,515,548
3527541508,536,557
3527751508,523,531
4804244929,505,525
3530301431,522,564
3530351808,504,504
3530981408,537,531
3531461508,612,593
3531971436,498,532
3531971408,457,449
3532391508,526,546
3532801545,553,577
3533011335,424,472
3535211535,516,544
3535761308,497,519
3537471808,550,598
3538141535,552,556
3538251508,557,529
3535311408,433,486
3545691508,493,538
4804251324,535,547
3547121591,572,572
3548671509,492,498
3553261508,523,543
3553261408,437,475
3554491536,558,551
3555201209,526,573
3556041536,488,517
3556661508,499,499
3556371235,500,513
3557181608,516,525
3558071508,472,464
3558571508,431,514
3560431408,478,544
5926006517,501,501
3567731587,563,570
3569011535,578,586
3569911508,486,478
3570291408,491,543
3571301431,433,472
3571491808,540,563
3571471509,505,515
4804266071,569,567
3571770960,473,535
3571921508,503,522
3572921508,546,571
3573231309,495,528
3573751577,512,531
3576071808,512,494
3576911508,512,510
3577091588,597,554
3577121508,493,468
3577201309,487,519
3577461512,467,529
3578671508,481,520
3579121436,407,463
3580081508,590,595
3580841435,496,539
3581931508,568,587
3582191508,522,554
3584271508,515,535
3586071534,536,539
3591801508,501,553
3592081508,529,534
3592921608,593,614
3594231409,495,514
3597741508,555,556
3597701508,543,565
4804411784,300,300
3535761908,334,321
3594231908,314,333
3574881909,329,334
3512451808,337,336
3535681908,330,339
3578191909,321,342
3575531809,318,344
3577301808,394,344
3594171908,332,344
3510881902,342,345
3571801935,332,346
3573351908,324,351
3594271934,337,352
4804402885,343,353
3566661908,320,355
3575631908,333,355
3578181909,339,356
3575631809,327,358
4804426575,358,358
3515091908,342,360
3507911509,352,364
3578541908,376,365
3504361808,334,366
3513081808,351,366
3507211809,350,367
3594001809,337,367
3519911908,364,374
3573761808,361,375
3575631709,328,375
3581121912,328,375
3546121908,336,380
3578191908,368,380
4804362212,350,380
3510951908,367,381
3561531808,413,382
3507941908,332,383
3527541908,350,384
3576991645,377,385
3576091808,373,386
3546101808,397,388
3552281908,371,388
3594241808,373,390
3559761988,403,391
3513261908,365,393
3518951808,407,393
3531971908,342,393
3507901509,390,398
4804395417,408,398
3517661909,383,399
3573321845,360,400
3593531808,389,400
3510231808,385,402
3548761808,386,402
3574571808,376,403
3577301908,367,403
3579081908,371,403
3515751708,411,406
3557271908,380,406
3575941908,354,406
3515761708,408,409
6422110826,301,409
3552091808,340,410
3552091908,358,410
3576991908,347,411
3532631608,394,412
3550071908,405,413
3519011808,374,414
3585721471,401,415
3517101745,409,416
3551161808,392,417
3571211260,452,417
3555401828,410,419
3572921709,390,419
3575941934,286,420
3590331708,383,420
3594791708,410,420
3557471509,391,421
3566521808,408,421
3507431808,391,422
5931004160,391,423
3555041535,392,424
3577121808,399,424
3519911745,359,425
3532391808,357,425
3556221708,412,425
3577011688,380,425
3552351808,373,426
3512371908,361,429
3592711808,416,429
3555921708,415,430
3508431787,378,433
3517151908,364,433
3580361608,414,434
3556521509,441,438
3515471734,351,439
3530381845,430,439
0501709259,430,445
3546081708,409,446
3532851708,423,447
3559011708,406,449
6099953962,405,450
3513171945,410,452
3527571908,423,452
3511241808,412,453
3512421845,380,453
3555561508,464,453
3576951636,422,454
3533241735,409,455
3535681708,456,456
3552781808,398,456
3574761808,430,456
3533691808,408,460
3510951808,414,461
3581861731,472,461
4804321829,403,461
3513171836,413,462
3529661808,418,462
3511091734,462,465
3552321687,428,465
3525001608,422,466
3576001708,406,466
3575261728,410,468
3554061808,434,470
5100574561,450,470
3532401845,464,471
3514631708,467,472
