student_id,fall_diag,winter_diag,fsa_math,gender,ethnicity,retained,attendance,behavior,passed
4804290612,386,410,1,M,Hispanic,NO,NO,NO,0
3560301549,405,435,1,M,Caucasian,YES,NO,NO,0
3527761508,386,415,1,F,African American,YES,NO,NO,0
3532401508,421,429,1,F,African American,YES,NO,NO,0
3546831509,381,389,1,M,African American,YES,YES,NO,0
3555561508,429,435,1,M,African American,YES,NO,NO,0
3566521808,393,380,1,M,Hispanic,NO,NO,NO,0
3576991160,413,409,1,F,Hispanic,YES,NO,NO,0
3577721535,398,408,1,M,Multi-Racial,YES,NO,NO,0
3535311408,365,388,1,M,African American,yes,no,yes,0
3579121436,397,410,1,F,Hispanic,yes,yes,no,0
3569911508,419,393,1,F,Hispanic,no,no,no,0
3512401409,414,428,1,F,Hispanic,no,no,no,0
3515661599,392,426,1,M,Hispanic,no,no,no,0
3533011335,389,406,1,M,Hispanic,no,no,no,0
5926006517,402,402,1,F,African American,no,no,no,0
3514841649,409,441,2,M,Caucasian,NO,NO,NO,0
3555521570,421,444,2,F,Caucasian,NO,NO,NO,0
3569341204,386,426,2,F,Asian,YES,NO,NO,0
3576151649,424,447,2,M,Hispanic,NO,NO,NO,0
3579081649,405,432,2,F,Multi-Racial,NO,NO,NO,0
3581311204,414,450,2,M,Caucasian,NO,NO,NO,0
3507911409,406,429,2,M,Hispanic,NO,NO,NO,0
3508501688,410,428,2,F,Caucasian,NO,NO,NO,0
3510721608,405,414,2,M,African American,NO,NO,YES,0
3513041608,418,426,2,F,African American,NO,NO,NO,0
3514841608,426,422,2,M,Caucasian,NO,NO,NO,0
3518081160,427,448,2,F,African American,NO,NO,NO,0
3519451745,427,435,2,F,Hispanic,NO,NO,NO,0
3548611608,406,421,2,F,Caucasian,NO,NO,NO,0
3551161509,417,443,2,F,African American,NO,NO,NO,0
3576991545,448,451,2,F,Unknown,NO,NO,NO,0
3585181628,423,416,2,F,Hispanic,NO,NO,NO,0
3573231309,410,425,2,F,African American,no,yes,yes,0
3571471509,437,448,2,F,African American,no,no,yes,0
4804244929,431,439,2,F,Hispanic,no,yes,no,0
3517521308,407,407,2,M,African American,yes,yes,no,0
3578671508,426,441,2,F,Multi-Racial,no,yes,no,0
3571301431,401,422,2,M,African American,yes,no,no,0
3553261408,411,424,2,F,Hispanic,yes,no,no,0
3510551409,409,435,2,F,Caucasian,yes,no,no,0
3556661508,414,449,2,M,Hispanic,no,no,no,0
3557181608,434,442,2,F,Caucasian,no,no,no,0
3513081509,414,432,2,F,African American,no,no,no,0
3531971408,434,428,2,M,Hispanic,yes,no,no,0
3510171549,443,443,3,M,Caucasian,YES,NO,NO,0
3510301649,439,455,3,M,Multi-Racial,NO,NO,NO,0
3510911649,404,454,3,M,Caucasian,NO,NO,NO,0
3511661649,435,451,3,M,Caucasian,NO,NO,NO,0
3512421649,436,456,3,M,Caucasian,NO,NO,NO,0
3512811649,446,461,3,F,Caucasian,NO,NO,NO,0
3513031423,448,446,3,M,Caucasian,YES,NO,NO,0
3517421549,431,443,3,F,Caucasian,YES,NO,NO,0
3521041796,451,474,3,M,Caucasian,NO,NO,NO,0
3523291649,426,456,3,F,Asian,NO,NO,NO,0
3530481649,431,450,3,M,Caucasian,NO,NO,NO,0
3554381669,433,442,3,F,Asian,NO,NO,NO,0
3554491949,412,451,3,F,Hispanic,NO,NO,NO,0
3557801623,447,448,3,M,Caucasian,NO,NO,NO,0
3571781704,432,456,3,M,Caucasian,NO,NO,NO,0
3572921404,435,454,3,M,Caucasian,YES,NO,NO,0
3575961649,437,454,3,F,Multi-Racial,NO,NO,NO,0
3576991649,438,447,3,F,Hispanic,NO,NO,NO,0
3577481949,439,458,3,M,Caucasian,NO,NO,NO,0
3580261649,434,455,3,F,Hispanic,NO,NO,NO,0
3581071623,438,462,3,F,Hispanic,NO,NO,NO,0
3582021649,429,448,3,F,Caucasian,NO,NO,NO,0
3594261649,442,465,3,F,African American,NO,NO,NO,0
3598881649,432,456,3,F,Caucasian,NO,NO,NO,0
3504381608,430,447,3,F,Hispanic,NO,NO,YES,0
3505811608,434,461,3,M,Multi-Racial,NO,NO,NO,0
3515081508,439,427,3,M,Caucasian,YES,NO,NO,0
3520361545,441,446,3,M,Caucasian,NO,YES,NO,0
3530361808,420,439,3,F,Hispanic,NO,NO,NO,0
3534541531,439,445,3,F,African American,NO,NO,NO,0
3537351508,432,444,3,F,Caucasian,YES,NO,NO,0
3556621635,443,446,3,F,Multi-Racial,NO,NO,NO,0
3560431508,432,447,3,F,Caucasian,YES,NO,NO,0
3572921609,438,442,3,F,Hispanic,NO,NO,NO,0
3574671908,413,437,3,F,Caucasian,NO,NO,NO,0
3594091608,417,430,3,M,African American,NO,NO,NO,0
3594321508,436,449,3,M,African American,YES,NO,NO,0
3576071808,435,445,3,M,Caucasian,no,yes,yes,0
3558071508,419,441,3,M,African American,no,no,yes,0
3597741508,401,444,3,F,Caucasian,no,no,yes,0
3538251508,443,440,3,M,Caucasian,no,no,no,0
3530301431,436,449,3,F,Caucasian,yes,yes,no,0
4804251324,442,448,3,F,African American,no,yes,no,0
